A_Index;Ausbaustufe;Baujahr;Besonderheiten;EG_qm;Gesamtqual;Gesamtzustand;Grundstueck_qm;Kellerhoehe;Lage;QualInnenfarbe;Steigung;Umgebaut;Verkaufsjahr;Wohnflaeche_qm;Z_Verkaufspreis
961;2 Ebenen;1883;;109;Durchschnitt;Durchschnitt;995;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1953;2007;205;74549
1418;2 Ebenen;1968;;136;Durchschnitt;Gut;1850;Gut;NeuBerlin_B;5;Keine/Kaum;1982;2008;221;86756
232;2 Ebenen;1973;;50;Durchschnitt;Durchschnitt;156;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1973;2013;101;68400
2222;2 Ebenen;1898;;76;Durchschnitt;Durchschnitt;536;Sehr Schlecht;NeuBerlin_B;4;Keine/Kaum;1953;2009;126;49487
279;1 Ebene;1973;;93;Durchschnitt;Durchschnitt;1131;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1973;2013;93;134100
233;1 Ebene;2005;;142;Gut;Durchschnitt;916;Gut;NeuBerlin_B;1;Keine/Kaum;2006;2010;142;161710
469;1 Ebene;1952;;96;Gut;Durchschnitt;1219;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1953;2011;117;106532
2449;1 Ebene;1972;;130;Durchschnitt;Durchschnitt;1347;Durchschnitt;NeuBerlin_B;5;Mittel;2003;2011;130;128159
2578;1 Ebene;2007;;132;Gut;Durchschnitt;851;Gut;NeuBerlin_B;4;Keine/Kaum;2007;2007;132;113949
583;2 Ebenen;2006;;99;Gut;Durchschnitt;1239;Gut;NeuBerlin_B;1;Keine/Kaum;2006;2012;203;216297
794;1 Ebene;1961;;100;Durchschnitt;Gut;951;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1961;2010;100;102769
2343;2 Ebenen;2006;;106;Gut;Durchschnitt;1186;Gut;NeuBerlin_A;4;Keine/Kaum;2007;2007;231;177586
2070;1 Ebene;1962;;115;Durchschnitt;Durchschnitt;754;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1997;2013;115;138600
1557;1 Ebene;2008;;117;Gut;Durchschnitt;757;Gut;NeuBerlin_A;5;Keine/Kaum;2008;2005;117;99382
2458;1 Ebene;1975;;128;Durchschnitt;Durchschnitt;943;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;2009;2013;128;177750
1948;2 Ebenen;2001;;81;Durchschnitt;Durchschnitt;898;Gut;NeuBerlin_B;5;Keine/Kaum;2002;2009;160;104537
122;1 Ebene;1954;;113;Durchschnitt;Durchschnitt;961;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1954;2005;113;76230
453;1 Ebene;1980;;126;Durchschnitt;Durchschnitt;1599;Gut;NeuBerlin_B;5;Mittel;1980;2007;126;119279
1460;1,5 Ebenen;1924;;67;Durchschnitt;Durchschnitt;916;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1978;2013;102;99000
2209;2 Ebenen;1903;;101;Durchschnitt;Durchschnitt;846;Schlecht;NeuBerlin_C;5;Keine/Kaum;1953;2011;186;128159
2309;2 Ebenen;1995;;130;Gut;Durchschnitt;1119;Gut;NeuBerlin_A;5;Keine/Kaum;1996;2013;206;256500
2349;2 Ebenen;1997;;59;Durchschnitt;Durchschnitt;906;Gut;NeuBerlin_B;3;Keine/Kaum;1997;2005;122;84700
2143;2 Ebenen;2000;;79;Gut;Durchschnitt;834;Gut;NeuBerlin_A;3;Keine/Kaum;2001;2005;157;112934
985;2,5 Ebenen;1923;;156;Durchschnitt;Durchschnitt;1588;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1973;2012;286;167264
566;1,5 Ebenen;1986;;139;Gut;Durchschnitt;1236;Gut;NeuBerlin_B;4;Mittel;2012;2012;198;268811
726;1 Ebene;2004;;138;Gut;Durchschnitt;914;Sehr gut;NeuBerlin_B;3;Keine/Kaum;2004;2005;138;118016
626;1 Ebene;1955;;137;Durchschnitt;Durchschnitt;3129;Durchschnitt;NeuBerlin_A;5;Keine/Kaum;1955;2010;137;86900
2262;1 Ebene;1964;;84;Durchschnitt;Durchschnitt;1545;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1964;2011;164;132164
869;1,5 Ebenen;1937;;63;Durchschnitt;Durchschnitt;986;Durchschnitt;NeuBerlin_A;3;Keine/Kaum;1953;2012;103;53490
221;1,5 Ebenen;1924;;70;Durchschnitt;Durchschnitt;689;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;2008;2008;120;98525
228;1,5 Ebenen;1923;;106;Durchschnitt;Durchschnitt;554;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;1983;2006;154;66738
1704;2 Ebenen;2002;;88;Durchschnitt;Durchschnitt;870;Gut;NeuBerlin_A;3;Keine/Kaum;2003;2008;159;121055
827;1 Ebene;1954;;148;Durchschnitt;Schlecht;3128;;NeuBerlin_B;4;Keine/Kaum;1954;2006;148;48781
374;2 Ebenen;2001;;73;Durchschnitt;Durchschnitt;848;Gut;NeuBerlin_A;3;Keine/Kaum;2001;2013;136;162360
821;1 Ebene;1963;;137;Durchschnitt;Durchschnitt;1768;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1963;2012;137;133726
1275;1 Ebene;1973;;85;Durchschnitt;Durchschnitt;800;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;2005;2008;85;89446
231;1,5 Ebenen;1913;;62;Durchschnitt;Durchschnitt;518;Sehr Schlecht;NeuBerlin_B;1;Keine/Kaum;2003;2009;97;44984
780;1 Ebene;1948;;92;Schlecht;Durchschnitt;906;;NeuBerlin_C;1;Keine/Kaum;1953;2008;92;60191
68;2 Ebenen;1942;;62;Durchschnitt;Gut;1085;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;2009;2011;125;119348
916;2 Ebenen;1991;;109;Gut;Durchschnitt;1438;Gut;NeuBerlin_B;1;Mittel;1992;2008;191;186291
1873;1 Ebene;1959;;114;Durchschnitt;Durchschnitt;1721;Durchschnitt;NeuBerlin_A;1;Keine/Kaum;1959;2011;114;108134
286;1,5 Ebenen;1928;;78;Durchschnitt;Durchschnitt;632;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1953;2012;112;87452
1500;1 Ebene;1941;;82;Durchschnitt;Durchschnitt;582;Schlecht;NeuBerlin_C;2;Keine/Kaum;1999;2011;82;73131
2543;2 Ebenen;1979;;67;Gut;Durchschnitt;1360;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;2008;2013;137;117450
1457;1 Ebene;1978;;99;Durchschnitt;Durchschnitt;1017;Gut;NeuBerlin_B;4;Keine/Kaum;1978;2006;99;91877
357;1,5 Ebenen;1944;;80;Durchschnitt;Durchschnitt;839;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1976;2010;125;115162
11;2 Ebenen;1940;;117;Durchschnitt;Gut;1291;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1983;2008;210;147284
2201;2 Ebenen;1930;;106;Durchschnitt;Durchschnitt;689;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1953;2012;179;126509
888;1 Ebene;2005;;72;Gut;Durchschnitt;777;Gut;NeuBerlin_A;2;Keine/Kaum;2005;2011;131;147463
1597;2 Ebenen;1933;;52;Durchschnitt;Durchschnitt;406;Gut;NeuBerlin_B;2;Keine/Kaum;1998;2007;102;94217
1125;2 Ebenen;1967;;66;Durchschnitt;Durchschnitt;938;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1967;2006;133;94271
2623;2 Ebenen;1993;;118;Gut;Durchschnitt;1958;Gut;NeuBerlin_C;5;Keine/Kaum;1993;2007;232;190339
1751;1 Ebene;1959;;94;Durchschnitt;Durchschnitt;781;;NeuBerlin_B;3;Keine/Kaum;1959;2009;94;54492
1109;2 Ebenen;2001;;118;Gut;Durchschnitt;1226;Gut;NeuBerlin_A;5;Keine/Kaum;2002;2012;242;285283
1758;2 Ebenen;1979;;87;Durchschnitt;Durchschnitt;1027;;NeuBerlin_B;3;Keine/Kaum;1979;2009;174;55604
1861;1 Ebene;1958;;106;Durchschnitt;Gut;962;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1958;2007;106;91362
2298;2 Ebenen;1998;;64;Durchschnitt;Durchschnitt;1308;Gut;NeuBerlin_A;3;Keine/Kaum;1999;2005;139;105875
161;1,5 Ebenen;1933;;86;Durchschnitt;Durchschnitt;633;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1953;2013;142;124560
2624;1 Ebene;1962;;91;Durchschnitt;Durchschnitt;982;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1962;2010;91;83122
1487;1 Ebene;2008;;140;Gut;Durchschnitt;309;Gut;NeuBerlin_B;5;Keine/Kaum;2008;2006;140;127784
1599;1,5 Ebenen;1940;;72;Durchschnitt;Gut;909;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1953;2008;127;94827
86;1,5 Ebenen;1903;;77;Durchschnitt;Durchschnitt;1425;Schlecht;NeuBerlin_B;4;Keine/Kaum;1996;2013;134;124650
2492;1 Ebene;1992;;110;Gut;Durchschnitt;391;Gut;NeuBerlin_B;4;Mittel;1992;2013;110;146250
630;2 Ebenen;1951;;86;Durchschnitt;Durchschnitt;1142;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1953;2007;178;86921
140;2 Ebenen;2001;;100;Gut;Durchschnitt;974;Gut;NeuBerlin_A;5;Keine/Kaum;2001;2006;183;171185
958;2 Ebenen;2004;;140;Gut;Durchschnitt;1691;Sehr gut;NeuBerlin_A;3;Keine/Kaum;2005;2010;246;318320
1765;1 Ebene;1969;;114;Durchschnitt;Durchschnitt;857;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;2009;2010;114;112857
441;2 Ebenen;1996;;74;Gut;Durchschnitt;789;Gut;NeuBerlin_A;2;Keine/Kaum;1997;2011;146;142577
376;1 Ebene;1960;;167;Durchschnitt;Durchschnitt;1320;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;2003;2006;167;92775
782;1,5 Ebenen;1929;;76;Durchschnitt;Durchschnitt;402;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;2007;2011;113;92114
1545;1 Ebene;1962;;80;Durchschnitt;Durchschnitt;818;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1962;2012;80;100188
2575;2 Ebenen;2002;;91;Gut;Durchschnitt;269;Gut;NeuBerlin_A;5;Keine/Kaum;2003;2011;161;138171
1262;2 Ebenen;1973;;44;Durchschnitt;Durchschnitt;189;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1973;2010;91;80099
79;1 Ebene;2008;;142;Gut;Durchschnitt;1620;Sehr gut;NeuBerlin_A;2;Mittel;2008;2011;142;208259
1584;1 Ebene;2005;;166;Gut;Durchschnitt;982;Gut;NeuBerlin_B;4;Keine/Kaum;2005;2010;166;173801
1371;2 Ebenen;2007;;78;Gut;Durchschnitt;354;Gut;NeuBerlin_A;1;Keine/Kaum;2007;2013;156;171000
1489;2 Ebenen;1932;;62;Durchschnitt;Durchschnitt;577;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1993;2007;124;88825
1634;2 Ebenen;1920;;61;Durchschnitt;Durchschnitt;362;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;2010;2011;119;95318
2443;1 Ebene;1950;;98;Gut;Durchschnitt;949;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1996;2009;98;68949
2544;2 Ebenen;1998;;138;Gut;Durchschnitt;1521;Gut;NeuBerlin_A;2;Keine/Kaum;1999;2011;259;322801
1646;2 Ebenen;2001;;136;Sehr gut;Durchschnitt;404;Gut;NeuBerlin_A;5;Keine/Kaum;2002;2009;222;191837
2480;1 Ebene;2002;;144;Gut;Durchschnitt;419;Gut;NeuBerlin_A;4;Keine/Kaum;2003;2009;144;169594
450;1 Ebene;2006;;111;Gut;Durchschnitt;1016;Gut;NeuBerlin_B;4;Keine/Kaum;2006;2012;111;156990
262;1 Ebene;1928;;53;Durchschnitt;Durchschnitt;1024;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1953;2012;53;63679
2523;2,5 Ebenen;1943;;115;Durchschnitt;Durchschnitt;819;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1953;2012;230;174056
2393;1 Ebene;1958;;141;Durchschnitt;Durchschnitt;963;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1975;2013;141;137700
1662;1 Ebene;1956;;96;Durchschnitt;Durchschnitt;797;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1956;2008;96;91464
405;1 Ebene;1961;;96;Durchschnitt;Durchschnitt;742;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1961;2012;96;108679
914;1 Ebene;2001;;154;Durchschnitt;Durchschnitt;1222;Gut;NeuBerlin_B;4;Keine/Kaum;2001;2013;154;202410
1082;2 Ebenen;1971;;77;Durchschnitt;Durchschnitt;1171;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1971;2011;144;123353
1167;2 Ebenen;2004;;119;Gut;Durchschnitt;1043;Gut;NeuBerlin_B;3;Keine/Kaum;2004;2010;200;174179
1370;1,5 Ebenen;1932;;86;Durchschnitt;Durchschnitt;554;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2004;2013;122;117000
810;2 Ebenen;2002;;95;Durchschnitt;Durchschnitt;756;Durchschnitt;NeuBerlin_A;4;Keine/Kaum;2002;2013;167;170100
236;1 Ebene;1980;;96;Durchschnitt;Durchschnitt;901;Gut;NeuBerlin_B;2;Keine/Kaum;1980;2007;96;85589
2522;2 Ebenen;2006;;99;Gut;Durchschnitt;920;Gut;NeuBerlin_A;2;Keine/Kaum;2006;2012;187;144339
2308;1 Ebene;1951;;123;Durchschnitt;Gut;1755;Durchschnitt;NeuBerlin_A;1;Keine/Kaum;2008;2008;123;145266
734;1,5 Ebenen;1928;;88;Gut;Gut;728;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2010;2011;143;164204
2379;1,5 Ebenen;1941;;86;Durchschnitt;Durchschnitt;929;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1953;2009;127;61165
1483;1 Ebene;1943;;99;Durchschnitt;Durchschnitt;728;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1953;2007;99;82480
1986;1 Ebene;1976;;115;Durchschnitt;Durchschnitt;961;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1976;2007;115;111348
502;1 Ebene;2008;;99;Durchschnitt;Durchschnitt;372;Gut;NeuBerlin_A;2;Keine/Kaum;2008;2006;99;86789
2352;1,5 Ebenen;1953;;71;Durchschnitt;Sehr gut;604;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1973;2012;123;109952
1882;1 Ebene;2007;;118;Gut;Durchschnitt;321;Gut;NeuBerlin_B;1;Keine/Kaum;2008;2013;118;172800
349;1 Ebene;2006;;78;Gut;Durchschnitt;450;Gut;NeuBerlin_B;2;Keine/Kaum;2006;2008;78;88438
1230;1 Ebene;1983;;156;Durchschnitt;Gut;1030;Gut;NeuBerlin_B;2;Keine/Kaum;1983;2006;156;124199
1149;1 Ebene;1980;;153;Durchschnitt;Durchschnitt;1307;Gut;NeuBerlin_B;1;Keine/Kaum;1980;2005;153;122815
207;2 Ebenen;1883;;122;Gut;Durchschnitt;1172;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;2006;2011;245;213048
1254;1,5 Ebenen;1929;Familienverkauf;89;Durchschnitt;Durchschnitt;857;Schlecht;NeuBerlin_C;1;Keine/Kaum;1953;2008;122;60527
1711;1,5 Ebenen;1903;;89;Durchschnitt;Durchschnitt;849;Durchschnitt;NeuBerlin_A;1;Keine/Kaum;1953;2009;127;66169
1297;2 Ebenen;1972;Familienverkauf;96;Durchschnitt;Durchschnitt;1164;Gut;NeuBerlin_B;4;Stark;1972;2007;193;85652
547;1,5 Ebenen;1940;;72;Durchschnitt;Durchschnitt;865;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1953;2005;127;67478
2181;2 Ebenen;2000;;82;Durchschnitt;Durchschnitt;940;Gut;NeuBerlin_B;3;Keine/Kaum;2001;2013;157;171900
2340;1 Ebene;1960;;121;Durchschnitt;Gut;875;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;2003;2011;121;122552
198;2 Ebenen;1973;;50;Durchschnitt;Durchschnitt;200;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1973;2006;101;54168
849;1 Ebene;2010;;119;Gut;Durchschnitt;683;Gut;NeuBerlin_B;2;Keine/Kaum;2010;2011;119;160199
2198;2 Ebenen;1996;;179;Gut;Gut;1730;Sehr gut;NeuBerlin_A;2;Keine/Kaum;1997;2006;325;349853
2227;1,5 Ebenen;1928;;107;Durchschnitt;Durchschnitt;623;Durchschnitt;NeuBerlin_C;3;Keine/Kaum;1993;2011;149;110097
1528;2 Ebenen;1933;;102;Durchschnitt;Durchschnitt;1423;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1962;2006;167;125695
2090;2 Ebenen;2009;Familienverkauf;91;Gut;Durchschnitt;961;Gut;NeuBerlin_A;3;Keine/Kaum;2009;2008;183;168133
1955;2 Ebenen;2008;;72;Gut;Durchschnitt;841;Gut;NeuBerlin_B;1;Keine/Kaum;2008;2005;149;110562
1659;2 Ebenen;1943;;89;Durchschnitt;Durchschnitt;1316;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1987;2007;161;139264
462;2 Ebenen;1995;;75;Durchschnitt;Durchschnitt;964;Gut;NeuBerlin_A;2;Keine/Kaum;1996;2012;148;151132
662;1 Ebene;1930;;90;Durchschnitt;Durchschnitt;1086;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2010;2008;90;43378
536;2 Ebenen;1913;;63;Durchschnitt;Durchschnitt;1046;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;1984;2012;114;93396
1298;1 Ebene;1989;;139;Gut;Durchschnitt;411;Gut;NeuBerlin_A;3;Keine/Kaum;1989;2009;139;134285
636;1,5 Ebenen;1968;;150;Durchschnitt;Durchschnitt;16468;Durchschnitt;NeuBerlin_A;3;Stark;1968;2009;166;127306
1718;1,5 Ebenen;1938;;106;Durchschnitt;Durchschnitt;707;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1953;2010;161;115615
2128;2 Ebenen;1923;;83;Durchschnitt;Durchschnitt;766;Schlecht;NeuBerlin_B;2;Keine/Kaum;1953;2006;167;119770
2026;2 Ebenen;2006;;104;Gut;Durchschnitt;1095;Gut;NeuBerlin_B;5;Keine/Kaum;2006;2010;216;181357
380;1 Ebene;1959;Familienverkauf;111;Durchschnitt;Durchschnitt;1046;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1959;2011;111;115343
2642;2 Ebenen;2002;;89;Durchschnitt;Durchschnitt;969;Gut;NeuBerlin_A;4;Keine/Kaum;2003;2007;152;117375
2202;1 Ebene;1962;;111;Durchschnitt;Durchschnitt;877;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1962;2013;111;133200
2606;1 Ebene;1961;;84;Durchschnitt;Durchschnitt;1016;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1961;2007;84;72646
432;1 Ebene;1925;;100;Durchschnitt;Durchschnitt;981;Durchschnitt;NeuBerlin_B;5;Keine/Kaum;1953;2006;100;54468
1214;1 Ebene;1999;;96;Durchschnitt;Gut;1250;Gut;NeuBerlin_B;2;Mittel;1999;2011;96;121751
844;1,5 Ebenen;1924;;76;Durchschnitt;Durchschnitt;774;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1953;2011;124;124074
293;1,5 Ebenen;1981;;122;Durchschnitt;Durchschnitt;899;;NeuBerlin_C;5;Keine/Kaum;1981;2013;176;100800
288;1 Ebene;1955;;98;Durchschnitt;Durchschnitt;1096;Durchschnitt;NeuBerlin_B;4;Keine/Kaum;1955;2013;98;121500
1618;1 Ebene;2007;;186;Gut;Durchschnitt;1044;Gut;NeuBerlin_B;2;Keine/Kaum;2008;2008;186;205727
1814;1 Ebene;2007;;103;Durchschnitt;Durchschnitt;1377;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;2007;2009;103;88411
866;1 Ebene;1990;;139;Gut;Durchschnitt;409;Gut;NeuBerlin_A;5;Keine/Kaum;1990;2008;139;164097
268;1 Ebene;1933;;72;Durchschnitt;Durchschnitt;918;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1963;2009;86;44205
608;1 Ebene;2010;;183;Sehr gut;Durchschnitt;1270;Sehr gut;NeuBerlin_A;1;Keine/Kaum;2010;2011;183;340423
1309;1,5 Ebenen;1903;;100;Gut;Durchschnitt;783;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1953;2006;181;66738
72;2 Ebenen;1983;;58;Durchschnitt;Durchschnitt;1082;Gut;NeuBerlin_B;5;Keine/Kaum;1983;2012;113;101886
646;2 Ebenen;1966;;91;Durchschnitt;Durchschnitt;710;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1966;2009;167;77846
523;1 Ebene;1958;;98;Durchschnitt;Durchschnitt;1054;Durchschnitt;NeuBerlin_A;3;Keine/Kaum;2002;2006;98;82001
1469;1 Ebene;1981;;154;Durchschnitt;Durchschnitt;1233;Gut;NeuBerlin_B;5;Keine/Kaum;1988;2007;154;135140
1604;1 Ebene;1966;;89;Durchschnitt;Gut;926;Durchschnitt;NeuBerlin_C;4;Keine/Kaum;2006;2010;89;109494
891;2 Ebenen;2001;;131;Gut;Durchschnitt;1105;Gut;NeuBerlin_A;5;Keine/Kaum;2002;2007;240;204614
1293;1,5 Ebenen;1931;;123;Durchschnitt;Durchschnitt;788;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1953;2011;184;108134
2020;2 Ebenen;2003;;71;Gut;Durchschnitt;219;Gut;NeuBerlin_A;5;Keine/Kaum;2003;2013;146;159750
492;2 Ebenen;2000;;60;Durchschnitt;Gut;1007;Gut;NeuBerlin_B;1;Keine/Kaum;2009;2007;121;111031
2125;1 Ebene;1956;;84;Gut;Durchschnitt;893;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1999;2009;84;64501
360;1 Ebene;1958;;98;Durchschnitt;Durchschnitt;3473;Durchschnitt;NeuBerlin_A;3;Keine/Kaum;1958;2005;98;81877
1864;1,5 Ebenen;1957;;97;Durchschnitt;Durchschnitt;1224;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1957;2009;166;73120
1510;2 Ebenen;1933;;34;Schlecht;Schlecht;565;;NeuBerlin_B;2;Keine/Kaum;1953;2013;101;49500
2325;1 Ebene;1973;;93;Durchschnitt;Durchschnitt;880;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1973;2012;93;126084
267;1 Ebene;1958;;107;Durchschnitt;Durchschnitt;689;;NeuBerlin_A;4;Keine/Kaum;1958;2010;107;62341
929;1 Ebene;1975;;83;Durchschnitt;Durchschnitt;987;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1975;2005;83;84644
860;1 Ebene;1961;;122;Durchschnitt;Durchschnitt;1144;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;2004;2009;122;103424
2528;2 Ebenen;1983;;58;Durchschnitt;Durchschnitt;804;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1983;2008;117;86084
1046;1,5 Ebenen;1942;;115;Durchschnitt;Durchschnitt;629;Durchschnitt;NeuBerlin_C;1;Keine/Kaum;1953;2009;186;83406
22;1 Ebene;1957;;88;Durchschnitt;Durchschnitt;825;Durchschnitt;NeuBerlin_A;5;Keine/Kaum;1957;2007;88;75501
1535;1 Ebene;1957;Familienverkauf;103;Durchschnitt;Gut;912;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1957;2012;103;122943
281;1 Ebene;1981;;96;Durchschnitt;Durchschnitt;849;Gut;NeuBerlin_B;4;Mittel;1981;2012;96;105283
1658;1,5 Ebenen;1926;;88;Durchschnitt;Durchschnitt;516;Durchschnitt;NeuBerlin_A;2;Keine/Kaum;2011;2009;120;60052
1314;1 Ebene;1925;;109;Durchschnitt;Durchschnitt;1169;Schlecht;NeuBerlin_B;3;Keine/Kaum;1953;2006;109;82300
